idx,email,sendStatus,sendBody,code,registerStatus,registerBody,success,error,timeMs,ts
11,mtvpj86tja@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",174,2025-10-18T23:52:16.937Z
12,mtdbrymm1h@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",173467,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1NTMsImV4cCI6MTc2NjAxNTU1MywibmJmIjoxNzYwODMxNTUzLCJqdGkiOiJrZjNsVDRXekNUc3JpempuIiwic3ViIjoxMjMyODEsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiUkJKZVNLIn0.DX_PDmptCA0Dee5IgZbuHU3U7Qj-xV_WJA56VKjJGj8"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtdbrymm1h@tiffincrane.com"",""account_type"":2,""email"":""mtdbrymm1h@tiffincrane.com"",""email_status"":1,""username"":""mtdbrymm1h@tiffincrane.com"",""reg_ip"":""172.71.131.100"",""invite_code"":""31881401"",""last_login_time"":""2025-10-19 07:52:32"",""last_login_ip"":""172.71.131.100"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:52:33"",""created_at"":""2025-10-19 07:52:33"",""user_id"":123281,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9982,2025-10-18T23:52:21.934Z
13,mt82621w4n@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",601,2025-10-18T23:52:26.933Z
14,mt1rm52kno@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",171,2025-10-18T23:52:31.933Z
15,mt5sbyjpt3@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",636,2025-10-18T23:52:36.931Z
16,mt8429qlgh@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",745,2025-10-18T23:52:41.940Z
17,mth107xif1@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",123339,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1ODAsImV4cCI6MTc2NjAxNTU4MCwibmJmIjoxNzYwODMxNTgwLCJqdGkiOiJhZmQ0ekk5S05OWjNPbzVVIiwic3ViIjoxMjMyODIsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiR2Q4ZzNzIn0.FU1RvZ6lQLD1JKPnClpPybO2-o1zhLcZU3sswOX1R-I"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mth107xif1@tiffincrane.com"",""account_type"":2,""email"":""mth107xif1@tiffincrane.com"",""email_status"":1,""username"":""mth107xif1@tiffincrane.com"",""reg_ip"":""172.69.222.28"",""invite_code"":""26687880"",""last_login_time"":""2025-10-19 07:53:00"",""last_login_ip"":""172.69.222.28"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:53:00"",""created_at"":""2025-10-19 07:53:00"",""user_id"":123282,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",12162,2025-10-18T23:52:46.940Z
18,mtf5aaw6k2@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",658,2025-10-18T23:52:51.937Z
19,mtn0r7cquu@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",287,2025-10-18T23:52:56.938Z
20,mt46lx46or@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",489848,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE1OTQsImV4cCI6MTc2NjAxNTU5NCwibmJmIjoxNzYwODMxNTk0LCJqdGkiOiJTYURCT2ZTN1gzNG1YNzFKIiwic3ViIjoxMjMyODMsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoidW5MRnN2In0._GECCQLGWMKMdhLVSxJZfGF1cOeOAQjJx_YxTeJMxd0"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt46lx46or@tiffincrane.com"",""account_type"":2,""email"":""mt46lx46or@tiffincrane.com"",""email_status"":1,""username"":""mt46lx46or@tiffincrane.com"",""reg_ip"":""172.71.131.99"",""invite_code"":""25569510"",""last_login_time"":""2025-10-19 07:53:14"",""last_login_ip"":""172.71.131.99"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:53:14"",""created_at"":""2025-10-19 07:53:14"",""user_id"":123283,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",10958,2025-10-18T23:53:01.936Z
21,mtpv1sqzuu@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",566,2025-10-18T23:53:06.942Z
22,mtdux5ue1n@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",351069,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2MDEsImV4cCI6MTc2NjAxNTYwMSwibmJmIjoxNzYwODMxNjAxLCJqdGkiOiJhYkFBTG1GR043UUpqa3FiIiwic3ViIjoxMjMyODQsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiQTFSbnY1In0.tHRlJWrhveXtLabEgynV3CJ6CXdnY4vfRxWVdyIfJ_E"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtdux5ue1n@tiffincrane.com"",""account_type"":2,""email"":""mtdux5ue1n@tiffincrane.com"",""email_status"":1,""username"":""mtdux5ue1n@tiffincrane.com"",""reg_ip"":""104.23.229.108"",""invite_code"":""32003381"",""last_login_time"":""2025-10-19 07:53:21"",""last_login_ip"":""104.23.229.108"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:53:21"",""created_at"":""2025-10-19 07:53:21"",""user_id"":123284,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",8090,2025-10-18T23:53:11.932Z
23,mthaeuj9iy@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",692032,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2MDcsImV4cCI6MTc2NjAxNTYwNywibmJmIjoxNzYwODMxNjA3LCJqdGkiOiJBbzhSRWJTYURrY1NXckc3Iiwic3ViIjoxMjMyODUsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiZXJ3c3hzIn0.FMmL9Abq6i-lRvy4IxW-Ojw1PFc60CPRXbp3M2mS704"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mthaeuj9iy@tiffincrane.com"",""account_type"":2,""email"":""mthaeuj9iy@tiffincrane.com"",""email_status"":1,""username"":""mthaeuj9iy@tiffincrane.com"",""reg_ip"":""172.71.118.211"",""invite_code"":""70734657"",""last_login_time"":""2025-10-19 07:53:27"",""last_login_ip"":""172.71.118.211"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:53:27"",""created_at"":""2025-10-19 07:53:27"",""user_id"":123285,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9232,2025-10-18T23:53:16.933Z
24,mt9rd69viq@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",741941,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2MTAsImV4cCI6MTc2NjAxNTYxMCwibmJmIjoxNzYwODMxNjEwLCJqdGkiOiJyUDZEb2pnZFlpN2xKRUF3Iiwic3ViIjoxMjMyODYsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiRXViQ2lHIn0.2eV3usqLqAbGXmpffQDoo4nytyTOQJq9chktvv3gpFk"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt9rd69viq@tiffincrane.com"",""account_type"":2,""email"":""mt9rd69viq@tiffincrane.com"",""email_status"":1,""username"":""mt9rd69viq@tiffincrane.com"",""reg_ip"":""172.68.151.44"",""invite_code"":""30773821"",""last_login_time"":""2025-10-19 07:53:30"",""last_login_ip"":""172.68.151.44"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:53:30"",""created_at"":""2025-10-19 07:53:30"",""user_id"":123286,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",7492,2025-10-18T23:53:21.932Z
25,mtk547nu6f@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",194,2025-10-18T23:53:26.932Z
26,mtniidur18@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",209,2025-10-18T23:53:31.935Z
27,mtkietwi6h@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",713,2025-10-18T23:53:36.944Z
28,mtbmhbs8it@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",546,2025-10-18T23:53:41.939Z
29,mtzp7oa4wm@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",659,2025-10-18T23:53:46.946Z
30,mtqtwep45k@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",777,2025-10-18T23:53:51.946Z
31,mtmjza9sod@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",694,2025-10-18T23:53:56.945Z
32,mtkky4koye@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",317520,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2NTIsImV4cCI6MTc2NjAxNTY1MiwibmJmIjoxNzYwODMxNjUyLCJqdGkiOiI2QnVkYXRSRW9CS0cweFVHIiwic3ViIjoxMjMyODcsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoibVp5VHByIn0.mmqJRqD7mu8mL1ltfd-ZIsmIQlYblrIkbsDrTi0ltiU"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtkky4koye@tiffincrane.com"",""account_type"":2,""email"":""mtkky4koye@tiffincrane.com"",""email_status"":1,""username"":""mtkky4koye@tiffincrane.com"",""reg_ip"":""172.69.222.28"",""invite_code"":""22360103"",""last_login_time"":""2025-10-19 07:54:12"",""last_login_ip"":""172.69.222.28"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:54:12"",""created_at"":""2025-10-19 07:54:12"",""user_id"":123287,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9519,2025-10-18T23:54:01.943Z
33,mt407wn9bm@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",462349,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2NTYsImV4cCI6MTc2NjAxNTY1NiwibmJmIjoxNzYwODMxNjU2LCJqdGkiOiJ6bmVsNEY3NTcxVXBHT09GIiwic3ViIjoxMjMyODgsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiaXlmcUxWIn0.3mmG0j_jWQXlBRcY85ijQsSDWBYWboT6Weqg3pS_rco"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt407wn9bm@tiffincrane.com"",""account_type"":2,""email"":""mt407wn9bm@tiffincrane.com"",""email_status"":1,""username"":""mt407wn9bm@tiffincrane.com"",""reg_ip"":""172.69.222.28"",""invite_code"":""04601006"",""last_login_time"":""2025-10-19 07:54:16"",""last_login_ip"":""172.69.222.28"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:54:16"",""created_at"":""2025-10-19 07:54:16"",""user_id"":123288,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",8114,2025-10-18T23:54:06.943Z
34,mtueovlwbo@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",453914,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2NjIsImV4cCI6MTc2NjAxNTY2MiwibmJmIjoxNzYwODMxNjYyLCJqdGkiOiJnRkJzZlQ0SVZ5ZzloNm1RIiwic3ViIjoxMjMyODksInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiajdZN0dZIn0.3kIDOUOVvPbn-F9Zp56KXvrCXMs2yEkxMxCDYTQsYFs"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtueovlwbo@tiffincrane.com"",""account_type"":2,""email"":""mtueovlwbo@tiffincrane.com"",""email_status"":1,""username"":""mtueovlwbo@tiffincrane.com"",""reg_ip"":""104.23.229.108"",""invite_code"":""53195522"",""last_login_time"":""2025-10-19 07:54:22"",""last_login_ip"":""104.23.229.108"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:54:22"",""created_at"":""2025-10-19 07:54:22"",""user_id"":123289,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9663,2025-10-18T23:54:11.943Z
35,mtdxv4x5k7@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",166,2025-10-18T23:54:16.935Z
36,mtlqjb2xzo@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",280,2025-10-18T23:54:21.938Z
37,mt7ct88s9p@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",701,2025-10-18T23:54:26.939Z
